size	x	y	showToolTip
1	0.0454707762102358	0.0157068062827225	Andaman & Nicobar
1.52	0.0765505790662415	0.0418848167539267	Andhra Pradesh
1	0.0454760119378779	0.0680628272251309	Arunachal Pradesh
1.02	0.0469441099687102	0.0942408376963351	Assam
1.02	0.0466975071967694	0.120418848167539	Bihar
1	0.045466064055358	0.146596858638743	Chandigarh
1.7	0.0871178481662021	0.172774869109948	Chhattisgarh
1.04	0.0475561665300665	0.198952879581152	Dadra & Nagar Haveli
1	0.0454681583464148	0.225130890052356	Daman & Diu
1	0.0454980019939745	0.25130890052356	Delhi
1	0.045713190400063	0.277486910994764	Goa
2.11	0.11152995187005	0.303664921465969	Gujarat
1.05	0.048540483326773	0.329842931937173	Haryana
1.04	0.0479666475772037	0.356020942408377	Himachal Pradesh
1.01	0.0462550882110157	0.382198952879581	Jammu & Kashmir
1.09	0.0508551985173257	0.408376963350785	Jharkhand
1.42	0.0705687602351931	0.43455497382199	Karnataka
1	0.0455194684773069	0.460732984293194	Kerala
1	0.0454545454545455	0.486910994764398	Lakshadweep
1.09	0.0509850445628487	0.539267015706806	Madhya Pradesh
1.62	0.0821994056192552	0.565445026178011	Maharashtra
1	0.0454901484025114	0.591623036649215	Manipur
1.02	0.0464006414394649	0.617801047120419	Meghalaya
1	0.0454545454545455	0.643979057591623	Mizoram
1	0.0454545454545455	0.670157068062827	Nagaland
1.56	0.0787563911218395	0.696335078534031	Orissa
1	0.0455309870781195	0.722513089005236	Pondicherry
1.04	0.0477985807198937	0.74869109947644	Punjab
1.16	0.0549929940728422	0.774869109947644	Rajasthan
1	0.0455566421435655	0.801047120418848	Sikkim
1.19	0.056582037412206	0.827225130890052	Tamil Nadu
1.15	0.0540976846460507	0.853403141361257	Telengana
1.1	0.0512054686965792	0.905759162303665	Tripura
1	0.045522086341128	0.931937172774869	Uttar Pradesh
1.12	0.0524023560355531	0.958115183246073	Uttaranchal
1.01	0.0461760287236207	0.984293193717277	West Bengal
1	0.0454545454545455	0.513089005235602	Location in more than One State
6	0.342774763918423	0.879581151832461	Total Investment in Rs. Crore
