STATE,District,crime,value
Andhra Pradesh,Adilabad,Murder,96
Andhra Pradesh,Anantapur,Murder,156
Andhra Pradesh,Chittoor,Murder,72
Andhra Pradesh,Cuddapah,Murder,93
Andhra Pradesh,Cyberabad,Murder,162
Andhra Pradesh,East Godavari,Murder,68
Andhra Pradesh,Guntakal Rly.,Murder,2
Andhra Pradesh,Guntur,Murder,110
Andhra Pradesh,Guntur Urban,Murder,44
Andhra Pradesh,Hyderabad City,Murder,120
Andhra Pradesh,Karimnagar,Murder,101
Andhra Pradesh,Khammam,Murder,103
Andhra Pradesh,Krishna,Murder,56
Andhra Pradesh,Kurnool,Murder,127
Andhra Pradesh,Mahbubnagar,Murder,191
Andhra Pradesh,Medak,Murder,128
Andhra Pradesh,Nalgonda,Murder,98
Andhra Pradesh,Nellore,Murder,99
Andhra Pradesh,Nizamabad,Murder,117
Andhra Pradesh,Prakasam,Murder,77
Andhra Pradesh,Rajahmundry,Murder,14
Andhra Pradesh,Rangareddy,Murder,80
Andhra Pradesh,Secunderabad Rly.,Murder,7
Andhra Pradesh,Srikakulam,Murder,35
Andhra Pradesh,Tirupathi Urban,Murder,26
Andhra Pradesh,Vijayawada City,Murder,29
Andhra Pradesh,Vijayawada Rly.,Murder,6
Andhra Pradesh,Visakha Rural,Murder,46
Andhra Pradesh,Visakhapatnam,Murder,30
Andhra Pradesh,Vizianagaram,Murder,30
Andhra Pradesh,Warangal,Murder,52
Andhra Pradesh,Warangal Urban,Murder,24
Andhra Pradesh,West Godavari,Murder,85
Arunachal Pradesh,Anjaw,Murder,2
Arunachal Pradesh,Changlang,Murder,4
Arunachal Pradesh,Dibang Valley,Murder,2
Arunachal Pradesh,K/Kumey,Murder,2
Arunachal Pradesh,East Kameng,Murder,5
Arunachal Pradesh,West Kameng,Murder,8
Arunachal Pradesh,Lohit,Murder,12
Arunachal Pradesh,Longding,Murder,2
Arunachal Pradesh,Papum Pare,Murder,5
Arunachal Pradesh,Rural,Murder,1
Arunachal Pradesh,East Siang,Murder,6
Arunachal Pradesh,Siang Upper,Murder,3
Arunachal Pradesh,West Siang,Murder,4
Arunachal Pradesh,Subansiri Lower,Murder,4
