Year,State,District,GDP,GDPKC
1999,ANDHRA PRADESH,Adilabad,3463.28,3.46328
2000,ANDHRA PRADESH,Adilabad,3917.43,3.91743
2001,ANDHRA PRADESH,Adilabad,4449.99,4.44999
2002,ANDHRA PRADESH,Adilabad,4478.72,4.47872
2003,ANDHRA PRADESH,Adilabad,5452.48,5.45248
2004,ANDHRA PRADESH,Adilabad,5288.23,5.28823
2005,ANDHRA PRADESH,Adilabad,6486.1,6.4861
2006,ANDHRA PRADESH,Adilabad,7248.88,7.24888
2007,ANDHRA PRADESH,Adilabad,8786.14,8.78614
1999,ANDHRA PRADESH,Anantapur,4728.59,4.72859
2000,ANDHRA PRADESH,Anantapur,6296.01,6.29601
2001,ANDHRA PRADESH,Anantapur,6072.53,6.07253
2002,ANDHRA PRADESH,Anantapur,6326.73,6.32673
2003,ANDHRA PRADESH,Anantapur,7090.33,7.09033
2004,ANDHRA PRADESH,Anantapur,9321.95,9.32195
2005,ANDHRA PRADESH,Anantapur,9095.84,9.09584
2006,ANDHRA PRADESH,Anantapur,9969.72,9.96972
2007,ANDHRA PRADESH,Anantapur,13804,13.804
1999,ANDHRA PRADESH,Chittoor,5395.57,5.39557
2000,ANDHRA PRADESH,Chittoor,6478.18,6.47818
2001,ANDHRA PRADESH,Chittoor,7017.73,7.01773
2002,ANDHRA PRADESH,Chittoor,7041.95,7.04195
2003,ANDHRA PRADESH,Chittoor,8110.13,8.11013
2004,ANDHRA PRADESH,Chittoor,9292.07,9.29207
2005,ANDHRA PRADESH,Chittoor,9269.71,9.26971
2006,ANDHRA PRADESH,Chittoor,10471.17,10.47117
2007,ANDHRA PRADESH,Chittoor,12603.92,12.60392
1999,ANDHRA PRADESH,Godavari.East,9507.67,9.50767
2000,ANDHRA PRADESH,Godavari.East,9950.68,9.95068
2001,ANDHRA PRADESH,Godavari.East,11010.29,11.01029
2002,ANDHRA PRADESH,Godavari.East,12266.78,12.26678
2003,ANDHRA PRADESH,Godavari.East,13804.19,13.80419
2004,ANDHRA PRADESH,Godavari.East,15474.4,15.4744
2005,ANDHRA PRADESH,Godavari.East,16087.56,16.08756
2006,ANDHRA PRADESH,Godavari.East,18408.7,18.4087
2007,ANDHRA PRADESH,Godavari.East,20635.19,20.63519
1999,ANDHRA PRADESH,Godavari.West,7398,7.398
2000,ANDHRA PRADESH,Godavari.West,8050.83,8.05083
2001,ANDHRA PRADESH,Godavari.West,8124.87,8.12487
2002,ANDHRA PRADESH,Godavari.West,9254.21,9.25421
2003,ANDHRA PRADESH,Godavari.West,10901.13,10.90113
2004,ANDHRA PRADESH,Godavari.West,12138.44,12.13844
2005,ANDHRA PRADESH,Godavari.West,12058.39,12.05839
2006,ANDHRA PRADESH,Godavari.West,13530.76,13.53076
2007,ANDHRA PRADESH,Godavari.West,16302.43,16.30243
1999,ANDHRA PRADESH,Guntur,7905.62,7.90562
2000,ANDHRA PRADESH,Guntur,8861.76,8.86176
2001,ANDHRA PRADESH,Guntur,9820.75,9.82075
2002,ANDHRA PRADESH,Guntur,9328.5,9.3285
2003,ANDHRA PRADESH,Guntur,10859.68,10.85968
2004,ANDHRA PRADESH,Guntur,11952.16,11.95216
2005,ANDHRA PRADESH,Guntur,12977.7,12.9777
2006,ANDHRA PRADESH,Guntur,14627.7,14.6277
2007,ANDHRA PRADESH,Guntur,16452,16.452
1999,ANDHRA PRADESH,Hyderabad,9213.4,9.2134
2000,ANDHRA PRADESH,Hyderabad,10188.11,10.18811
2001,ANDHRA PRADESH,Hyderabad,11385.5,11.3855
2002,ANDHRA PRADESH,Hyderabad,13085.34,13.08534
2003,ANDHRA PRADESH,Hyderabad,14542.17,14.54217
2004,ANDHRA PRADESH,Hyderabad,15397.76,15.39776
2005,ANDHRA PRADESH,Hyderabad,18478.52,18.47852
2006,ANDHRA PRADESH,Hyderabad,21709.21,21.70921
2007,ANDHRA PRADESH,Hyderabad,25271.83,25.27183
