State,year,sector,gdp
A&N Islands,2005,Agriculture,236
A&N Islands,2006,Agriculture,177
A&N Islands,2007,Agriculture,205
A&N Islands,2008,Agriculture,220
A&N Islands,2009,Agriculture,221
A&N Islands,2010,Agriculture,221
A&N Islands,2011,Agriculture,231
A&N Islands,2012,Agriculture,238
A&N Islands,2013,Agriculture,248
A&N Islands,2014,Agriculture,253
Andhra Pradesh,2005,Agriculture,46251
Andhra Pradesh,2006,Agriculture,49335
Andhra Pradesh,2007,Agriculture,50112
Andhra Pradesh,2008,Agriculture,59523
Andhra Pradesh,2009,Agriculture,59700
Andhra Pradesh,2010,Agriculture,59924
Andhra Pradesh,2011,Agriculture,62191
Andhra Pradesh,2012,Agriculture,61137
Andhra Pradesh,2013,Agriculture,64878
Andhra Pradesh,2014,Agriculture,67743
Arunachal Pradesh,2005,Agriculture,572
Arunachal Pradesh,2006,Agriculture,538
Arunachal Pradesh,2007,Agriculture,642
Arunachal Pradesh,2008,Agriculture,806
Arunachal Pradesh,2009,Agriculture,697
Arunachal Pradesh,2010,Agriculture,683
Arunachal Pradesh,2011,Agriculture,856
Arunachal Pradesh,2012,Agriculture,946
Arunachal Pradesh,2013,Agriculture,906
Arunachal Pradesh,2014,Agriculture,962
Assam,2005,Agriculture,11589
Assam,2006,Agriculture,11811
Assam,2007,Agriculture,12009
Assam,2008,Agriculture,12373
Assam,2009,Agriculture,12524
Assam,2010,Agriculture,13336
Assam,2011,Agriculture,13776
Assam,2012,Agriculture,14435
Assam,2013,Agriculture,15063
Assam,2014,Agriculture,15733
Bihar,2005,Agriculture,20673
Bihar,2006,Agriculture,17875
Bihar,2007,Agriculture,23338
Bihar,2008,Agriculture,21290
Bihar,2009,Agriculture,25983
Bihar,2010,Agriculture,21987
Bihar,2011,Agriculture,26365
Bihar,2012,Agriculture,29931
Bihar,2013,Agriculture,32694
Bihar,2014,Agriculture,28908
Chandigarh,2005,Agriculture,70
Chandigarh,2006,Agriculture,73
Chandigarh,2007,Agriculture,73
Chandigarh,2008,Agriculture,73
Chandigarh,2009,Agriculture,77
Chandigarh,2010,Agriculture,66
Chandigarh,2011,Agriculture,64
Chandigarh,2012,Agriculture,52
Chandigarh,2013,Agriculture,49
