State,TotalHousehold,Asset,percent,household
A&N Islands,93376,RadioTransister,26.1,24371.136
Andhra Pradesh,21024534,RadioTransister,9.3,1955281.662
Arunachal Pradesh,261614,RadioTransister,22,57555.08
Assam,6367295,RadioTransister,22.1,1407172.195
Bihar,18940629,RadioTransister,25.8,4886682.282
Chandigarh,235061,RadioTransister,28.1,66052.141
Chhattisgarh,5622850,RadioTransister,11,618513.5
Dadra & Nagar Haveli,73063,RadioTransister,15.5,11324.765
Daman & Diu,60381,RadioTransister,21,12680.01
Goa,322813,RadioTransister,31.1,100394.843
Gujarat,12181718,RadioTransister,19.4,2363253.292
Haryana,4717954,RadioTransister,17.4,820923.996
Himachal Pradesh,1476581,RadioTransister,25.7,379481.317
Jammu Kashmir,2015088,RadioTransister,47.2,951121.536
Jharkhand,6181607,RadioTransister,17.5,1081781.225
Karnataka,13179911,RadioTransister,22.3,2939120.153
Kerala,7716370,RadioTransister,29.7,2291761.89
Lakshadweep,10703,RadioTransister,20.2,2162.006
Madhya Pradesh,14967597,RadioTransister,14.5,2170301.565
Maharashtra,23830580,RadioTransister,19.5,4646963.1
Manipur,507152,RadioTransister,54.4,275890.688
Meghalaya,538299,RadioTransister,25.2,135651.348
Mizoram,221077,RadioTransister,33.5,74060.795
Nagaland,399965,RadioTransister,25,99991.25
NCT of Delhi,3340538,RadioTransister,33.4,1115739.692
Odisha,9661085,RadioTransister,11.4,1101363.69
Puducherry,301276,RadioTransister,26.5,79838.14
Punjab,5409699,RadioTransister,16.5,892600.335
Rajasthan,12581303,RadioTransister,16.2,2038171.086
Sikkim,128131,RadioTransister,23,29470.13
Tamil Nadu,18493003,RadioTransister,22.7,4197911.681
Tripura,842781,RadioTransister,12.8,107875.968
Uttar Pradesh,32924266,RadioTransister,24.7,8132293.702
Uttarakhand,1997068,RadioTransister,14.6,291571.928
West Bengal,20067299,RadioTransister,18.3,3672315.717
A&N Islands,93376,Television,68.5,63962.56
Andhra Pradesh,21024534,Television,58.8,12362425.99
Arunachal Pradesh,261614,Television,41.1,107523.354
Assam,6367295,Television,27.5,1751006.125
Bihar,18940629,Television,14.5,2746391.205
Chandigarh,235061,Television,82.5,193925.325
Chhattisgarh,5622850,Television,31.3,1759952.05
Dadra & Nagar Haveli,73063,Television,47.2,34485.736
Daman & Diu,60381,Television,61,36832.41
Goa,322813,Television,81.1,261801.343
Gujarat,12181718,Television,53.8,6553764.284
Haryana,4717954,Television,67.9,3203490.766
Himachal Pradesh,1476581,Television,74.4,1098576.264
Jammu Kashmir,2015088,Television,51,1027694.88
Jharkhand,6181607,Television,26.8,1656670.676
Karnataka,13179911,Television,60,7907946.6
Kerala,7716370,Television,76.8,5926172.16
Lakshadweep,10703,Television,64.1,6860.623
Madhya Pradesh,14967597,Television,32.1,4804598.637
Maharashtra,23830580,Television,56.8,13535769.44
Manipur,507152,Television,47.4,240390.048
Meghalaya,538299,Television,33.7,181406.763
Mizoram,221077,Television,55.1,121813.427
Nagaland,399965,Television,37.9,151586.735
NCT of Delhi,3340538,Television,88,2939673.44
Odisha,9661085,Television,26.7,2579509.695
Puducherry,301276,Television,81.8,246443.768
Punjab,5409699,Television,82.6,4468411.374
Rajasthan,12581303,Television,37.6,4730569.928
Sikkim,128131,Television,54.7,70087.657
Tamil Nadu,18493003,Television,87,16088912.61
Tripura,842781,Television,44.9,378408.669
Uttar Pradesh,32924266,Television,33.2,10930856.31
Uttarakhand,1997068,Television,62,1238182.16
West Bengal,20067299,Television,35.3,7083756.547
A&N Islands,93376,TotalComputer,8.8,8217.088
Andhra Pradesh,21024534,TotalComputer,8.4,1766060.856
Arunachal Pradesh,261614,TotalComputer,8.2,21452.348
Assam,6367295,TotalComputer,9.4,598525.73
Bihar,18940629,TotalComputer,7.1,1344784.659
Chandigarh,235061,TotalComputer,33.2,78040.252
Chhattisgarh,5622850,TotalComputer,4.6,258651.1
Dadra & Nagar Haveli,73063,TotalComputer,8.3,6064.229
Daman & Diu,60381,TotalComputer,9.3,5615.433
Goa,322813,TotalComputer,31.1,100394.843
Gujarat,12181718,TotalComputer,8.8,1071991.184
Haryana,4717954,TotalComputer,13.3,627487.882
Himachal Pradesh,1476581,TotalComputer,8.4,124032.804
Jammu Kashmir,2015088,TotalComputer,8.4,169267.392
Jharkhand,6181607,TotalComputer,6.9,426530.883
Karnataka,13179911,TotalComputer,12.8,1687028.608
Kerala,7716370,TotalComputer,15.8,1219186.46
Lakshadweep,10703,TotalComputer,14.1,1509.123
Madhya Pradesh,14967597,TotalComputer,5.9,883088.223
Maharashtra,23830580,TotalComputer,13.3,3169467.14
Manipur,507152,TotalComputer,9.1,46150.832
Meghalaya,538299,TotalComputer,7.6,40910.724
Mizoram,221077,TotalComputer,15.2,33603.704
Nagaland,399965,TotalComputer,8.9,35596.885
NCT of Delhi,3340538,TotalComputer,29.1,972096.558
Odisha,9661085,TotalComputer,5.1,492715.335
Puducherry,301276,TotalComputer,13.6,40973.536
Punjab,5409699,TotalComputer,12.8,692441.472
Rajasthan,12581303,TotalComputer,6.9,868109.907
Sikkim,128131,TotalComputer,11.5,14735.065
Tamil Nadu,18493003,TotalComputer,10.6,1960258.318
Tripura,842781,TotalComputer,7.3,61523.013
Uttar Pradesh,32924266,TotalComputer,8.1,2666865.546
Uttarakhand,1997068,TotalComputer,11,219677.48
West Bengal,20067299,TotalComputer,8.3,1665585.817
A&N Islands,93376,ComputerWithInternet,3.5,3268.16
Andhra Pradesh,21024534,ComputerWithInternet,2.6,546637.884
Arunachal Pradesh,261614,ComputerWithInternet,2,5232.28
Assam,6367295,ComputerWithInternet,1.6,101876.72
Bihar,18940629,ComputerWithInternet,0.9,170465.661
Chandigarh,235061,ComputerWithInternet,18.8,44191.468
Chhattisgarh,5622850,ComputerWithInternet,1.2,67474.2
Dadra & Nagar Haveli,73063,ComputerWithInternet,2.8,2045.764
Daman & Diu,60381,ComputerWithInternet,2.8,1690.668
Goa,322813,ComputerWithInternet,12.7,40997.251
Gujarat,12181718,ComputerWithInternet,3.1,377633.258
Haryana,4717954,ComputerWithInternet,5.3,250051.562
Himachal Pradesh,1476581,ComputerWithInternet,2.8,41344.268
Jammu Kashmir,2015088,ComputerWithInternet,2.9,58437.552
Jharkhand,6181607,ComputerWithInternet,1.5,92724.105
Karnataka,13179911,ComputerWithInternet,4.8,632635.728
Kerala,7716370,ComputerWithInternet,6.3,486131.31
Lakshadweep,10703,ComputerWithInternet,3.1,331.793
Madhya Pradesh,14967597,ComputerWithInternet,1.4,209546.358
Maharashtra,23830580,ComputerWithInternet,5.8,1382173.64
Manipur,507152,ComputerWithInternet,2.2,11157.344
Meghalaya,538299,ComputerWithInternet,1.5,8074.485
Mizoram,221077,ComputerWithInternet,2.5,5526.925
Nagaland,399965,ComputerWithInternet,1.7,6799.405
NCT of Delhi,3340538,ComputerWithInternet,17.6,587934.688
Odisha,9661085,ComputerWithInternet,1.4,135255.19
Puducherry,301276,ComputerWithInternet,6,18076.56
Punjab,5409699,ComputerWithInternet,5.4,292123.746
Rajasthan,12581303,ComputerWithInternet,1.8,226463.454
Sikkim,128131,ComputerWithInternet,3.3,4228.323
Tamil Nadu,18493003,ComputerWithInternet,4.2,776706.126
Tripura,842781,ComputerWithInternet,1,8427.81
Uttar Pradesh,32924266,ComputerWithInternet,1.9,625561.054
Uttarakhand,1997068,ComputerWithInternet,3.2,63906.176
West Bengal,20067299,ComputerWithInternet,2.2,441480.578
A&N Islands,93376,ComputerWithoutInternet,5.3,4948.928
Andhra Pradesh,21024534,ComputerWithoutInternet,5.8,1219422.972
Arunachal Pradesh,261614,ComputerWithoutInternet,6.2,16220.068
Assam,6367295,ComputerWithoutInternet,7.8,496649.01
Bihar,18940629,ComputerWithoutInternet,6.2,1174318.998
Chandigarh,235061,ComputerWithoutInternet,14.4,33848.784
Chhattisgarh,5622850,ComputerWithoutInternet,3.4,191176.9
Dadra & Nagar Haveli,73063,ComputerWithoutInternet,5.5,4018.465
Daman & Diu,60381,ComputerWithoutInternet,6.5,3924.765
Goa,322813,ComputerWithoutInternet,18.4,59397.592
Gujarat,12181718,ComputerWithoutInternet,5.7,694357.926
Haryana,4717954,ComputerWithoutInternet,8,377436.32
Himachal Pradesh,1476581,ComputerWithoutInternet,5.6,82688.536
Jammu Kashmir,2015088,ComputerWithoutInternet,5.5,110829.84
