State,year,crop,value
Andhra Pradesh,2010,Cereals Rice,10538
Arunachal Pradesh,2010,Cereals Rice,215.8
Assam,2010,Cereals Rice,4335.8
Bihar,2010,Cereals Rice,3599.3
Chhattisgarh,2010,Cereals Rice,4110.4
Goa,2010,Cereals Rice,100.6
Gujarat,2010,Cereals Rice,1292
Haryana,2010,Cereals Rice,3625
Himachal Pradesh,2010,Cereals Rice,105.9
Jammu and Kashmir,2010,Cereals Rice,497.4
Jharkhand,2010,Cereals Rice,1538.4
Karnataka,2010,Cereals Rice,3691
Kerala,2010,Cereals Rice,598.3
Madhya Pradesh,2010,Cereals Rice,1260.6
Maharashtra,2010,Cereals Rice,2183
Manipur,2010,Cereals Rice,319.9
Meghalaya,2010,Cereals Rice,206.7
Mizoram,2010,Cereals Rice,44.4
Nagaland,2010,Cereals Rice,240.3
Orissa,2010,Cereals Rice,6917.5
Punjab,2010,Cereals Rice,11236
Rajasthan,2010,Cereals Rice,228.3
Sikkim,2010,Cereals Rice,24.3
Tamil Nadu,2010,Cereals Rice,5665.2
Tripura,2010,Cereals Rice,640
Uttar Pradesh,2010,Cereals Rice,10807.1
Uttarakhand,2010,Cereals Rice,608
West Bengal,2010,Cereals Rice,14340.7
A & N Islands,2010,Cereals Rice,24.9
Dadar & N. Haveli,2010,Cereals Rice,13.5
Daman & Diu,2010,Cereals Rice,3.3
Delhi,2010,Cereals Rice,29
Puducherry,2010,Cereals Rice,52.4
Andhra Pradesh,2011,Cereals Rice,14418
Arunachal Pradesh,2011,Cereals Rice,234
Assam,2011,Cereals Rice,4737
Bihar,2011,Cereals Rice,3102
Chhattisgarh,2011,Cereals Rice,6159
Goa,2011,Cereals Rice,115
Gujarat,2011,Cereals Rice,1497
Haryana,2011,Cereals Rice,3472
Himachal Pradesh,2011,Cereals Rice,129
Jammu and Kashmir,2011,Cereals Rice,508
Jharkhand,2011,Cereals Rice,1110
Karnataka,2011,Cereals Rice,4188
Kerala,2011,Cereals Rice,523
Madhya Pradesh,2011,Cereals Rice,1772
Maharashtra,2011,Cereals Rice,2696
Manipur,2011,Cereals Rice,522
Meghalaya,2011,Cereals Rice,206.7
Mizoram,2011,Cereals Rice,47
Nagaland,2011,Cereals Rice,381
Orissa,2011,Cereals Rice,6828
Punjab,2011,Cereals Rice,10837
Rajasthan,2011,Cereals Rice,266
Sikkim,2011,Cereals Rice,21
Tamil Nadu,2011,Cereals Rice,5792
Tripura,2011,Cereals Rice,703
Uttar Pradesh,2011,Cereals Rice,11992
Uttarakhand,2011,Cereals Rice,550
West Bengal,2011,Cereals Rice,13046
A & N Islands,2011,Cereals Rice,24
Dadar & N. Haveli,2011,Cereals Rice,21
Daman & Diu,2011,Cereals Rice,3.3
Delhi,2011,Cereals Rice,29
Puducherry,2011,Cereals Rice,52.4
Andhra Pradesh,2010,Cereals Jowar,437
Bihar,2010,Cereals Jowar,1.8
Chhattisgarh,2010,Cereals Jowar,5.9
Gujarat,2010,Cereals Jowar,171
Haryana,2010,Cereals Jowar,36
Jammu and Kashmir,2010,Cereals Jowar,2.5
Karnataka,2010,Cereals Jowar,1406
Kerala,2010,Cereals Jowar,1.9
Madhya Pradesh,2010,Cereals Jowar,564.9
Maharashtra,2010,Cereals Jowar,3566
Orissa,2010,Cereals Jowar,5.8
Rajasthan,2010,Cereals Jowar,104.2
Tamil Nadu,2010,Cereals Jowar,221.7
Uttar Pradesh,2010,Cereals Jowar,169
West Bengal,2010,Cereals Jowar,0.6
Dadar & N. Haveli,2010,Cereals Jowar,0.6
Delhi,2010,Cereals Jowar,3.2
Andhra Pradesh,2011,Cereals Jowar,308
Bihar,2011,Cereals Jowar,3
Chhattisgarh,2011,Cereals Jowar,9
Gujarat,2011,Cereals Jowar,139
Haryana,2011,Cereals Jowar,36
Karnataka,2011,Cereals Jowar,1467
Kerala,2011,Cereals Jowar,1
Madhya Pradesh,2011,Cereals Jowar,616
Maharashtra,2011,Cereals Jowar,3452
Orissa,2011,Cereals Jowar,5
Rajasthan,2011,Cereals Jowar,509
Tamil Nadu,2011,Cereals Jowar,247
Uttar Pradesh,2011,Cereals Jowar,207
Delhi,2011,Cereals Jowar,3.2
Andhra Pradesh,2010,Cereals Bajra,53
Bihar,2010,Cereals Bajra,3.3
Gujarat,2010,Cereals Bajra,828
Haryana,2010,Cereals Bajra,932
Jammu and Kashmir,2010,Cereals Bajra,10.9
Karnataka,2010,Cereals Bajra,153
Madhya Pradesh,2010,Cereals Bajra,248
Maharashtra,2010,Cereals Bajra,766
Orissa,2010,Cereals Bajra,1.7
Punjab,2010,Cereals Bajra,4
Rajasthan,2010,Cereals Bajra,2034.9
Tamil Nadu,2010,Cereals Bajra,82.3
Uttar Pradesh,2010,Cereals Bajra,1389
Daman & Diu,2010,Cereals Bajra,0.5
Andhra Pradesh,2011,Cereals Bajra,101
Bihar,2011,Cereals Bajra,5
Gujarat,2011,Cereals Bajra,1091
Haryana,2011,Cereals Bajra,1185
Jammu and Kashmir,2011,Cereals Bajra,10
Karnataka,2011,Cereals Bajra,334
Madhya Pradesh,2011,Cereals Bajra,308
Maharashtra,2011,Cereals Bajra,1123
Nagaland,2011,Cereals Bajra,1
Orissa,2011,Cereals Bajra,1.7
Punjab,2011,Cereals Bajra,3
Rajasthan,2011,Cereals Bajra,4567
Tamil Nadu,2011,Cereals Bajra,77
Uttar Pradesh,2011,Cereals Bajra,1557
Delhi,2011,Cereals Bajra,5
Andhra Pradesh,2010,Cereals Maize,2762
Arunachal Pradesh,2010,Cereals Maize,60
Assam,2010,Cereals Maize,14.1
Bihar,2010,Cereals Maize,1478.7
Chhattisgarh,2010,Cereals Maize,143.3
Goa,2010,Cereals Maize,0.6
Gujarat,2010,Cereals Maize,533
Haryana,2010,Cereals Maize,27
Himachal Pradesh,2010,Cereals Maize,543.2
Jammu and Kashmir,2010,Cereals Maize,487
Jharkhand,2010,Cereals Maize,190.7
Karnataka,2010,Cereals Maize,3013
Madhya Pradesh,2010,Cereals Maize,1045.2
Maharashtra,2010,Cereals Maize,1828
Manipur,2010,Cereals Maize,11.7
Meghalaya,2010,Cereals Maize,26.3
Mizoram,2010,Cereals Maize,11.5
Nagaland,2010,Cereals Maize,73.2
Orissa,2010,Cereals Maize,175.1
Punjab,2010,Cereals Maize,475
Rajasthan,2010,Cereals Maize,1145.7
Sikkim,2010,Cereals Maize,66
Tamil Nadu,2010,Cereals Maize,1144.3
Tripura,2010,Cereals Maize,2
Uttar Pradesh,2010,Cereals Maize,1039
Uttarakhand,2010,Cereals Maize,38
West Bengal,2010,Cereals Maize,385.2
Andhra Pradesh,2011,Cereals Maize,3956
Arunachal Pradesh,2011,Cereals Maize,65
Assam,2011,Cereals Maize,14.1
Bihar,2011,Cereals Maize,1440
Chhattisgarh,2011,Cereals Maize,186
Gujarat,2011,Cereals Maize,820
Haryana,2011,Cereals Maize,19
Himachal Pradesh,2011,Cereals Maize,671
Jammu and Kashmir,2011,Cereals Maize,528
Jharkhand,2011,Cereals Maize,262
Karnataka,2011,Cereals Maize,4444
Madhya Pradesh,2011,Cereals Maize,1052
Maharashtra,2011,Cereals Maize,2602
Manipur,2011,Cereals Maize,42
Meghalaya,2011,Cereals Maize,26.3
Mizoram,2011,Cereals Maize,14
Nagaland,2011,Cereals Maize,134
Orissa,2011,Cereals Maize,299
Punjab,2011,Cereals Maize,491
Rajasthan,2011,Cereals Maize,2053
Sikkim,2011,Cereals Maize,66
Tamil Nadu,2011,Cereals Maize,1028
Tripura,2011,Cereals Maize,4
Uttar Pradesh,2011,Cereals Maize,1114
Uttarakhand,2011,Cereals Maize,43
West Bengal,2011,Cereals Maize,352
Delhi,2011,Cereals Maize,4
Andhra Pradesh,2010,Cereals Ragi,53
Bihar,2010,Cereals Ragi,8.4
Chhattisgarh,2010,Cereals Ragi,2.2
Gujarat,2010,Cereals Ragi,11
Himachal Pradesh,2010,Cereals Ragi,2.2
Jharkhand,2010,Cereals Ragi,5.7
Karnataka,2010,Cereals Ragi,1312
Maharashtra,2010,Cereals Ragi,109
Orissa,2010,Cereals Ragi,37.7
Sikkim,2010,Cereals Ragi,5
Tamil Nadu,2010,Cereals Ragi,162.6
Uttar Pradesh,2010,Cereals Ragi,0.8
Uttarakhand,2010,Cereals Ragi,163
West Bengal,2010,Cereals Ragi,13.9
Dadar & N. Haveli,2010,Cereals Ragi,1.4
Andhra Pradesh,2011,Cereals Ragi,50
Bihar,2011,Cereals Ragi,7
Chhattisgarh,2011,Cereals Ragi,2.2
Gujarat,2011,Cereals Ragi,14
Himachal Pradesh,2011,Cereals Ragi,2.2
Jharkhand,2011,Cereals Ragi,5
Karnataka,2011,Cereals Ragi,1588
Maharashtra,2011,Cereals Ragi,117
Orissa,2011,Cereals Ragi,47
Sikkim,2011,Cereals Ragi,3
Tamil Nadu,2011,Cereals Ragi,171
Uttarakhand,2011,Cereals Ragi,171
West Bengal,2011,Cereals Ragi,13.9
Dadar & N. Haveli,2011,Cereals Ragi,2
Andhra Pradesh,2010,Cereals Small millets,13
Arunachal Pradesh,2010,Cereals Small millets,18.4
Assam,2010,Cereals Small millets,3.1
Bihar,2010,Cereals Small millets,3
Chhattisgarh,2010,Cereals Small millets,28
Gujarat,2010,Cereals Small millets,57
Himachal Pradesh,2010,Cereals Small millets,1.8
Jammu and Kashmir,2010,Cereals Small millets,5
Jharkhand,2010,Cereals Small millets,11.9
Karnataka,2010,Cereals Small millets,11
Madhya Pradesh,2010,Cereals Small millets,73.5
Maharashtra,2010,Cereals Small millets,23
Meghalaya,2010,Cereals Small millets,1.9
Nagaland,2010,Cereals Small millets,3.5
Orissa,2010,Cereals Small millets,10.1
Punjab,2010,Cereals Small millets,1
